

------------SHANNON ENTROPY---------------

Shannon entropy of 0 is : 0.0357151
Shannon entropy of 1 is : 0.0278808
Shannon entropy of 10 is : 0.0325137
Shannon entropy of 100 is : 0.0369732
Shannon entropy of 1000 is : 0.0230386
Shannon entropy of 10000 is : 0.031209
Shannon entropy of 100000 is : 0.0344444
Shannon entropy of 1000000 is : 0.0305512
Shannon entropy of 10000000 is : 0.027203
Shannon entropy of 10000001 is : 0.031209
Shannon entropy of 1000001 is : 0.0258339
Shannon entropy of 10000010 is : 0.0357151
Shannon entropy of 10000011 is : 0.0318631
Shannon entropy of 100001 is : 0.0251425
Shannon entropy of 1000010 is : 0.029224
Shannon entropy of 10000100 is : 0.0325137
Shannon entropy of 10000101 is : 0.0298896
Shannon entropy of 1000011 is : 0.0244462
Shannon entropy of 10000110 is : 0.0318631
Shannon entropy of 10000111 is : 0.0363457
Shannon entropy of 10001 is : 0.0251425
Shannon entropy of 100010 is : 0.0350814
Shannon entropy of 1000100 is : 0.0298896
Shannon entropy of 10001000 is : 0.0350814
Shannon entropy of 10001001 is : 0.0258339
Shannon entropy of 1000101 is : 0.0318631
Shannon entropy of 10001010 is : 0.0305512
Shannon entropy of 10001011 is : 0.0344444
Shannon entropy of 100011 is : 0.0251425
Shannon entropy of 1000110 is : 0.0278808
Shannon entropy of 10001100 is : 0.0305512
Shannon entropy of 10001101 is : 0.0258339
Shannon entropy of 1000111 is : 0.0344444
Shannon entropy of 10001110 is : 0.0400669
Shannon entropy of 10001111 is : 0.0363457
Shannon entropy of 1001 is : 0.0305512
Shannon entropy of 10010 is : 0.0305512
Shannon entropy of 100100 is : 0.0278808
Shannon entropy of 1001000 is : 0.0285545
Shannon entropy of 10010000 is : 0.0350814
Shannon entropy of 10010001 is : 0.0375977
Shannon entropy of 1001001 is : 0.0331607
Shannon entropy of 10010010 is : 0.027203
Shannon entropy of 10010011 is : 0.0350814
Shannon entropy of 100101 is : 0.0325137
Shannon entropy of 1001010 is : 0.0350814
Shannon entropy of 10010100 is : 0.027203
Shannon entropy of 10010101 is : 0.0394538
Shannon entropy of 1001011 is : 0.0338042
Shannon entropy of 10010110 is : 0.031209
Shannon entropy of 10010111 is : 0.0285545
Shannon entropy of 10011 is : 0.0350814
Shannon entropy of 100110 is : 0.0318631
Shannon entropy of 1001100 is : 0.0318631
Shannon entropy of 10011000 is : 0.0357151
Shannon entropy of 10011001 is : 0.0251425
Shannon entropy of 1001101 is : 0.0318631
Shannon entropy of 10011010 is : 0.031209
Shannon entropy of 10011011 is : 0.027203
Shannon entropy of 100111 is : 0.0344444
Shannon entropy of 1001110 is : 0.0305512
Shannon entropy of 10011100 is : 0.0285545
Shannon entropy of 10011101 is : 0.0382193
Shannon entropy of 1001111 is : 0.0350814
Shannon entropy of 10011110 is : 0.0344444
Shannon entropy of 10011111 is : 0.0285545
Shannon entropy of 101 is : 0.0350814
Shannon entropy of 1010 is : 0.027203
Shannon entropy of 10100 is : 0.0305512
Shannon entropy of 101000 is : 0.0318631
Shannon entropy of 1010000 is : 0.0305512
Shannon entropy of 10100000 is : 0.0244462
Shannon entropy of 10100001 is : 0.0350814
Shannon entropy of 1010001 is : 0.0251425
Shannon entropy of 10100010 is : 0.029224
Shannon entropy of 10100011 is : 0.029224
Shannon entropy of 101001 is : 0.0305512
Shannon entropy of 1010010 is : 0.0331607
Shannon entropy of 10100100 is : 0.0363457
Shannon entropy of 10100101 is : 0.0344444
Shannon entropy of 1010011 is : 0.0357151
Shannon entropy of 10100110 is : 0.0285545
Shannon entropy of 10100111 is : 0.0278808
Shannon entropy of 10101 is : 0.029224
Shannon entropy of 101010 is : 0.0285545
